     **************************************************
     *                PROGRAM  RRKM                   *
     *              E. Martinez-Nunez                 *
     *       Departamento de Quimica Fisica           *
     *  Universidad de Santiago de Compostela(Spain)  *
     **************************************************


   Direct via TS9 for process 1 7         -8.3235 150          


   Energia critica   =  66.47kcal/mol
   Energia rotacional=   0.00kcal/mol
   Energia mas alta  = 161.18kcal/mol


   Rotores libres del reactivo= 0       Rotores libres del TS= 0



   Teoria rrkm armonica cuantica


   Frecuencias vibracionales del reactivo
   ======================================
       frec    1      551  cm-1
       frec    2      593  cm-1
       frec    3      957  cm-1
       frec    4     1063  cm-1
       frec    5     1232  cm-1
       frec    6     1308  cm-1
       frec    7     1840  cm-1
       frec    8     2664  cm-1
       frec    9     2788  cm-1


   Energia del punto cero en el re=    18.58kcal/mol


   Frecuencias vibracionales del estado de transicion
   ==================================================
       frec    1      451  cm-1
       frec    2      587  cm-1
       frec    3      906  cm-1
       frec    4      998  cm-1
       frec    5     1346  cm-1
       frec    6     1947  cm-1
       frec    7     2103  cm-1
       frec    8     2635  cm-1


   Energia del punto cero en el TS=    15.69kcal/mol




     Energia      k(E,J)/s-1
        26690               240953908.
        26700               244308977.
        26710               247617576.
        26720               246167097.
        26730               247149490.
        26740               247902696.
        26750               248109153.
        26760               247336708.
        26770               248995646.
        26780               251989962.
        26790               254609198.
        26800               256521988.
        26810               257383725.
        26820               260981303.
        26830               262759938.
        26840               263911058.
        26850               270508585.
        26860               273940464.
        26870               278537161.
        26880               280770800.
        26890               282109861.
        26900               280584943.
        26910               281204212.
        26920               282623968.
        26930               283440704.
        26940               285912107.
        26950               287860854.
        26960               295943492.
        26970               300147368.
        26980               299849551.
        26990               301201261.
        27000               308366277.
        27010               316123822.
        27020               316618441.
        27030               314404756.
        27040               315446237.
        27050               317231233.
        27060               321576866.
        27070               319354838.
        27080               319171054.
        27090               326110470.
        27100               329220179.
        27110               331855784.
        27120               332688352.
        27130               336731799.
        27140               340994226.
        27150               348001729.
        27160               348036835.
        27170               351714562.
        27180               350944415.
        27190               354094592.
        27200               354765432.
        27210               354963884.
        27220               354971411.
        27230               358415271.
        27240               364309733.
        27250               364319462.
        27260               369139145.
        27270               369065769.
        27280               374053367.
        27290               377749493.
        27300               383961727.
        27310               389214495.
        27320               391456919.
        27330               396318821.
        27340               395527251.
        27350               397163314.
        27360               397287179.
        27370               401889511.
        27380               404505191.
        27390               402457365.
        27400               406022118.
        27410               416597883.
        27420               418879905.
        27430               419685878.
        27440               424157410.
        27450               430870155.
        27460               438705367.
        27470               439407148.
        27480               439100674.
        27490               437802914.
        27500               443253083.
        27510               446983446.
        27520               445515900.
        27530               447564731.
        27540               450097654.
        27550               461156930.
        27560               459072180.
        27570               463368999.
        27580               464901081.
        27590               472091336.
        27600               477470878.
        27610               482550355.
        27620               484269576.
        27630               482598605.
        27640               485281877.
        27650               488761964.
        27660               486153930.
        27670               488625858.
        27680               491010802.
        27690               497247898.
        27700               503138360.
        27710               507090239.
        27720               508957442.
        27730               513272893.
        27740               518065928.
        27750               522719641.
        27760               526975941.
        27770               535166090.
        27780               540295082.
        27790               544851988.
        27800               540261525.
        27810               544434760.
        27820               547601666.
        27830               549071722.
        27840               552271463.
        27850               556275747.
        27860               563121767.
        27870               569087040.
        27880               572492275.
        27890               578893201.
        27900               585454752.
        27910               593375354.
        27920               593982786.
        27930               593575377.
        27940               595921524.
        27950               599441295.
        27960               605095123.
        27970               606425628.
        27980               606492984.
        27990               613430166.
        28000               619278492.
        28010               625817255.
        28020               626868743.
        28030               629454723.
        28040               635072192.
        28050               645313083.
        28060               650579669.
        28070               650682212.
        28080               655292821.
        28090               655113408.
        28100               661070089.
        28110               659874123.
        28120               658991816.
        28130               664433843.
        28140               675022576.
        28150               680223841.
        28160               683474682.
        28170               687103872.
        28180               691620204.
        28190               697419142.
        28200               702600120.
        28210               708236419.
        28220               714990413.
        28230               721474460.
        28240               724912829.
        28250               724596181.
        28260               724179470.
        28270               729636843.
        28280               738920881.
        28290               739224870.
        28300               746886536.
        28310               752275055.
        28320               761506331.
        28330               760462538.
        28340               771049184.
        28350               777789278.
        28360               786573396.
        28370               795932954.
        28380               791425621.
        28390               792979920.
        28400               796352117.
        28410               800911582.
        28420               804954932.
        28430               806823073.
        28440               812585247.
        28450               820830844.
        28460               825273673.
        28470               830792958.
        28480               835512990.
        28490               843679100.
        28500               852309941.
        28510               857834999.
        28520               862411768.
        28530               858987640.
        28540               868234191.
        28550               872929733.
        28560               871886040.
        28570               876474131.
        28580               878947589.
        28590               888388559.
        28600               895228070.
        28610               904853792.
        28620               904334105.
        28630               911336693.
        28640               920007583.
        28650               926777849.
        28660               932633902.
        28670               938456457.
        28680               943632175.
        28690               951669632.
        28700               949474719.
        28710               953007080.
        28720               959713918.
        28730               963794313.
        28740               971309584.
        28750               976564603.
        28760               984494690.
        28770               992409450.
        28780               999624465.
        28790              1004175920.
        28800              1010422929.
        28810              1027221381.
        28820              1027777753.
        28830              1033859987.
        28840              1032874926.
        28850              1036611677.
        28860              1044788630.
        28870              1049059542.
        28880              1055428253.
        28890              1058184620.
        28900              1068535085.
        28910              1073617941.
        28920              1079754847.
        28930              1085887165.
        28940              1091688062.
        28950              1105176584.
        28960              1115630001.
        28970              1113476925.
        28980              1120523336.
        28990              1120773162.
        29000              1126688559.
        29010              1133154056.
        29020              1132336042.
        29030              1137834739.
        29040              1144870215.
        29050              1163185229.
        29060              1166275509.
        29070              1175134830.
        29080              1178962568.
        29090              1188260893.
        29100              1199378810.
        29110              1199484081.
        29120              1210562869.
        29130              1218523922.
        29140              1228782114.
        29150              1228723364.
        29160              1233013235.
        29170              1236623634.
        29180              1244869931.
        29190              1253082484.
        29200              1258623341.
        29210              1268237789.
        29220              1279616044.
        29230              1283303237.
        29240              1291035510.
        29250              1304532451.
        29260              1310159539.
        29270              1324387262.
        29280              1323416145.
        29290              1328829241.
        29300              1331527487.
        29310              1338382099.
        29320              1344077816.
        29330              1350692517.
        29340              1362530234.
        29350              1367460667.
        29360              1379545604.
        29370              1384324930.
        29380              1387297369.
        29390              1398428578.
        29400              1406053804.
        29410              1423428353.
        29420              1429845960.
        29430              1428843850.
        29440              1429508670.
        29450              1441556929.
        29460              1444764782.
        29470              1447806217.
        29480              1450494459.
        29490              1467225548.
        29500              1474273597.
        29510              1489282060.
        29520              1489663762.
        29530              1500256942.
        29540              1514744243.
        29550              1524909697.
        29560              1531990366.
        29570              1535053739.
        29580              1545645151.
        29590              1555684857.
        29600              1557739429.
        29610              1564076993.
        29620              1568394138.
        29630              1585124445.
        29640              1585065923.
        29650              1602899899.
        29660              1607775646.
        29670              1615714398.
        29680              1625191416.
        29690              1635993806.
        29700              1643095985.
        29710              1659500039.
        29720              1665764037.
        29730              1674330134.
        29740              1675766998.
        29750              1684209022.
        29760              1687906630.
        29770              1692516081.
        29780              1706752437.
        29790              1710920853.
        29800              1727789970.
        29810              1733733362.
        29820              1744991485.
        29830              1754370633.
        29840              1757451637.
        29850              1775216662.
        29860              1790383363.
        29870              1796810216.
        29880              1798473758.
        29890              1806620327.
        29900              1811198405.
        29910              1818951799.
        29920              1827864681.
        29930              1830334374.
        29940              1841576039.
        29950              1858667081.
        29960              1865384406.
        29970              1869825914.
        29980              1884934019.
        29990              1896098669.
        30000              1914668342.
        30010              1915313613.
        30020              1927539210.
        30030              1931484099.
        30040              1945673426.
        30050              1951725025.
        30060              1960381945.
        30070              1968542145.
        30080              1972004910.
        30090              1990303122.
        30100              1997267807.
        30110              2010634487.
        30120              2025787531.
        30130              2033530744.
        30140              2045256235.
        30150              2056997857.
        30160              2068621380.
        30170              2073935497.
        30180              2089826517.
        30190              2097492895.
        30200              2098170525.
        30210              2106940650.
        30220              2117221598.
        30230              2122000330.
        30240              2140169039.
        30250              2142153819.
        30260              2160834877.
        30270              2171265441.
        30280              2175656585.
        30290              2190619791.
        30300              2198748410.
        30310              2220951460.
        30320              2230797539.
        30330              2242615479.
        30340              2239870666.
        30350              2250127098.
        30360              2261714952.
        30370              2259685302.
        30380              2272429042.
        30390              2288047043.
        30400              2302933210.
        30410              2319298123.
        30420              2323037729.
        30430              2331661466.
        30440              2348023631.
        30450              2367469158.
        30460              2373773888.
        30470              2386111285.
        30480              2394317950.
        30490              2405062339.
        30500              2413903011.
        30510              2426321573.
        30520              2426697342.
        30530              2449382127.
        30540              2449376914.
        30550              2472045524.
        30560              2479677097.
        30570              2492863306.
        30580              2508587690.
        30590              2524472317.
        30600              2535751583.
        30610              2546977759.
        30620              2562314166.
        30630              2569288713.
        30640              2581106649.
        30650              2592822836.
        30660              2593538646.
        30670              2604758037.
        30680              2617642012.
        30690              2631746110.
        30700              2645323634.
        30710              2659616421.
        30720              2668032622.
        30730              2679247119.
        30740              2687191353.
        30750              2703286052.
        30760              2719286100.
        30770              2739296185.
        30780              2743344936.
        30790              2753470017.
        30800              2764050095.
        30810              2766065143.
        30820              2785470952.
        30830              2783928170.
        30840              2804667337.
        30850              2822412579.
        30860              2838715887.
        30870              2843365028.
        30880              2858230961.
        30890              2879349672.
        30900              2894049511.
        30910              2912659018.
        30920              2919665811.
        30930              2928522643.
        30940              2941196858.
        30950              2948235568.
        30960              2960383262.
        30970              2972155617.
        30980              2984763012.
        30990              3003933163.
        31000              3016762339.
        31010              3026214099.
        31020              3039672273.
        31030              3053337758.
        31040              3076726021.
        31050              3087108833.
        31060              3114459165.
        31070              3109125501.
        31080              3130975480.
        31090              3145859565.
        31100              3151321082.
        31110              3167802844.
        31120              3170223546.
        31130              3190251710.
        31140              3202159613.
        31150              3216281570.
        31160              3230660839.
        31170              3251695682.
        31180              3268130613.
        31190              3276485227.
        31200              3288446227.
        31210              3307095667.
        31220              3318598826.
        31230              3338931071.
        31240              3344250387.
        31250              3353701236.
        31260              3373371718.
        31270              3375116702.
        31280              3386254229.
        31290              3401582712.
        31300              3423086269.
        31310              3439372717.
        31320              3448307760.
        31330              3468417395.
        31340              3476571516.
        31350              3512351144.
        31360              3514806973.
        31370              3538590716.
        31380              3549924668.
        31390              3564260996.
        31400              3573056089.
        31410              3587106071.
        31420              3591915891.
        31430              3613731789.
        31440              3626259055.
        31450              3645756856.
        31460              3660633278.
        31470              3683588978.
        31480              3686587370.
        31490              3713691171.
        31500              3733603422.
        31510              3742899110.
        31520              3761086057.
        31530              3776046661.
        31540              3782994047.
        31550              3806933385.
        31560              3803479132.
        31570              3832552297.
        31580              3839963848.
        31590              3867562979.
        31600              3872426727.
        31610              3891405247.
