     **************************************************
     *                PROGRAM  RRKM                   *
     *              E. Martinez-Nunez                 *
     *       Departamento de Quimica Fisica           *
     *  Universidad de Santiago de Compostela(Spain)  *
     **************************************************


   Direct via TS10 for process 1 3         -8.3235 150         


   Energia critica   =  68.34kcal/mol
   Energia rotacional=   0.00kcal/mol
   Energia mas alta  = 161.18kcal/mol


   Rotores libres del reactivo= 0       Rotores libres del TS= 0



   Teoria rrkm armonica cuantica


   Frecuencias vibracionales del reactivo
   ======================================
       frec    1      551  cm-1
       frec    2      593  cm-1
       frec    3      957  cm-1
       frec    4     1063  cm-1
       frec    5     1232  cm-1
       frec    6     1308  cm-1
       frec    7     1840  cm-1
       frec    8     2664  cm-1
       frec    9     2788  cm-1


   Energia del punto cero en el re=    18.58kcal/mol


   Frecuencias vibracionales del estado de transicion
   ==================================================
       frec    1      326  cm-1
       frec    2      473  cm-1
       frec    3      523  cm-1
       frec    4     1077  cm-1
       frec    5     1256  cm-1
       frec    6     1567  cm-1
       frec    7     2472  cm-1
       frec    8     2788  cm-1


   Energia del punto cero en el TS=    14.98kcal/mol




     Energia      k(E,J)/s-1
        34260             18246982677.
        34270             18306909372.
        34280             18367495618.
        34290             18421813938.
        34300             18477007960.
        34310             18565138687.
        34320             18588154218.
        34330             18716881263.
        34340             18708855364.
        34350             18808229384.
        34360             18871983125.
        34370             18924541527.
        34380             19018607691.
        34390             19054963879.
        34400             19123222007.
        34410             19198744809.
        34420             19238251978.
        34430             19317621685.
        34440             19389284572.
        34450             19469009979.
        34460             19524765795.
        34470             19587741507.
        34480             19654408266.
        34490             19703438420.
        34500             19776349129.
        34510             19846463929.
        34520             19885443189.
        34530             19996606107.
        34540             20033126644.
        34550             20101388114.
        34560             20165703781.
        34570             20265112547.
        34580             20315763872.
        34590             20396353550.
        34600             20449944077.
        34610             20494257495.
        34620             20595349423.
        34630             20612707150.
        34640             20730627390.
        34650             20795525286.
        34660             20857365087.
        34670             20943461105.
        34680             20986404763.
        34690             21055745879.
        34700             21128990123.
        34710             21200141795.
        34720             21282507290.
        34730             21329684308.
        34740             21422107801.
        34750             21459169030.
        34760             21522147882.
        34770             21649286614.
        34780             21677632851.
        34790             21771848480.
        34800             21831812138.
        34810             21869309947.
        34820             21983650103.
        34830             22008955457.
        34840             22114128529.
        34850             22184334087.
        34860             22264776847.
        34870             22314861249.
        34880             22390675396.
        34890             22463064638.
        34900             22537017853.
        34910             22631294220.
        34920             22683843550.
        34930             22768948312.
        34940             22840611613.
        34950             22905959717.
        34960             22958735501.
        34970             23062920130.
        34980             23136559205.
        34990             23190131934.
        35000             23267924056.
        35010             23340058815.
        35020             23408503772.
        35030             23528674700.
        35040             23566044654.
        35050             23647545606.
        35060             23754833397.
        35070             23773238966.
        35080             23881033606.
        35090             23927906439.
        35100             24009249595.
        35110             24121232999.
        35120             24156609338.
        35130             24267785405.
        35140             24307051200.
        35150             24432077011.
        35160             24463491792.
        35170             24562635231.
        35180             24646191769.
        35190             24703754409.
        35200             24782022478.
        35210             24874655886.
        35220             24910797987.
        35230             25052839543.
        35240             25100503712.
        35250             25180124252.
        35260             25274628128.
        35270             25329234737.
        35280             25405161905.
        35290             25479856842.
        35300             25559725330.
        35310             25646632819.
        35320             25733294764.
        35330             25797462796.
        35340             25868209814.
        35350             25988092435.
        35360             26018579067.
        35370             26147172911.
        35380             26201859067.
        35390             26300404174.
        35400             26346880724.
        35410             26444287551.
        35420             26525296088.
        35430             26598955285.
        35440             26719691071.
        35450             26761654514.
        35460             26843040946.
        35470             26949593755.
        35480             26991064286.
        35490             27111390638.
        35500             27203847741.
        35510             27265184434.
        35520             27391142058.
        35530             27405621605.
        35540             27505476614.
        35550             27609488673.
        35560             27674303065.
        35570             27784268978.
        35580             27830445223.
        35590             27957145794.
        35600             27993914780.
        35610             28104458801.
        35620             28200835865.
        35630             28267379998.
        35640             28394617348.
        35650             28435017204.
        35660             28514404420.
        35670             28607463147.
        35680             28699925950.
        35690             28769875098.
        35700             28892356974.
        35710             28963743246.
        35720             29061644661.
        35730             29140350133.
        35740             29199783837.
        35750             29301843007.
        35760             29400964989.
        35770             29462666382.
        35780             29560264890.
        35790             29657411842.
        35800             29718570125.
        35810             29844878943.
        35820             29900075989.
        35830             30027400489.
        35840             30096340536.
        35850             30207040068.
        35860             30269589446.
        35870             30323980986.
        35880             30472710287.
        35890             30495647032.
        35900             30632049807.
        35910             30726981316.
        35920             30797839336.
        35930             30913747195.
        35940             30965686052.
        35950             31081661770.
        35960             31193602013.
        35970             31270517955.
        35980             31351254274.
        35990             31444588588.
        36000             31516200315.
        36010             31635230405.
        36020             31702720897.
        36030             31834569538.
        36040             31885902903.
        36050             32028423301.
        36060             32062321481.
        36070             32158191132.
        36080             32290916057.
        36090             32377848951.
        36100             32467573243.
        36110             32556118207.
        36120             32654715177.
        36130             32723105632.
        36140             32842203651.
        36150             32927926194.
        36160             33021432526.
        36170             33163874188.
        36180             33182180951.
        36190             33320800566.
        36200             33398032183.
        36210             33509095003.
        36220             33615910003.
        36230             33693172047.
        36240             33770200014.
        36250             33897917204.
        36260             33958770695.
        36270             34078137362.
        36280             34159609761.
        36290             34304575831.
        36300             34366766765.
        36310             34460963756.
        36320             34586408024.
        36330             34611111121.
        36340             34779915110.
        36350             34841464128.
        36360             34932110815.
        36370             35073653384.
        36380             35122849803.
        36390             35246898233.
        36400             35346203711.
        36410             35470430324.
        36420             35552784936.
        36430             35666059230.
        36440             35736857064.
        36450             35842440235.
        36460             35937676683.
        36470             36019340083.
        36480             36143517807.
        36490             36275550859.
        36500             36351161514.
        36510             36450546319.
        36520             36555963060.
        36530             36637169686.
        36540             36765448558.
        36550             36863076713.
        36560             36972326646.
