     **************************************************
     *                PROGRAM  RRKM                   *
     *              E. Martinez-Nunez                 *
     *       Departamento de Quimica Fisica           *
     *  Universidad de Santiago de Compostela(Spain)  *
     **************************************************


   Reverse via TS10 for process 3 1          5.2856 150        


   Energia critica   =  54.73kcal/mol
   Energia rotacional=   0.00kcal/mol
   Energia mas alta  = 161.18kcal/mol


   Rotores libres del reactivo= 0       Rotores libres del TS= 0



   Teoria rrkm armonica cuantica


   Frecuencias vibracionales del reactivo
   ======================================
       frec    1      467  cm-1
       frec    2      523  cm-1
       frec    3      591  cm-1
       frec    4      818  cm-1
       frec    5      847  cm-1
       frec    6     1242  cm-1
       frec    7     1340  cm-1
       frec    8     2737  cm-1
       frec    9     2763  cm-1


   Energia del punto cero en el re=    16.19kcal/mol


   Frecuencias vibracionales del estado de transicion
   ==================================================
       frec    1      326  cm-1
       frec    2      473  cm-1
       frec    3      523  cm-1
       frec    4     1077  cm-1
       frec    5     1256  cm-1
       frec    6     1567  cm-1
       frec    7     2472  cm-1
       frec    8     2788  cm-1


   Energia del punto cero en el TS=    14.98kcal/mol




     Energia      k(E,J)/s-1
        22630               464027149.
        22640               473602619.
        22650               473141856.
        22660               477904170.
        22670               486033993.
        22680               481684200.
        22690               490526199.
        22700               495468239.
        22710               492694327.
        22720               500806470.
        22730               500797628.
        22740               506055729.
        22750               516946121.
        22760               511170996.
        22770               519019987.
        22780               531826926.
        22790               528711126.
        22800               534851451.
        22810               543221667.
        22820               543947142.
        22830               548171333.
        22840               555236522.
        22850               555235758.
        22860               556122348.
        22870               567644729.
        22880               566582931.
        22890               570959729.
        22900               577293020.
        22910               577978952.
        22920               585826723.
        22930               596579864.
        22940               589997919.
        22950               603596879.
        22960               610397788.
        22970               603311767.
        22980               620676749.
        22990               620182376.
        23000               617026249.
        23010               632034839.
        23020               631187388.
        23030               632689744.
        23040               643725445.
        23050               643357175.
        23060               648026998.
        23070               654630443.
        23080               659525195.
        23090               664139893.
        23100               674545915.
        23110               674340262.
        23120               674988749.
        23130               692539731.
        23140               689757379.
        23150               688397719.
        23160               709542931.
        23170               700183244.
        23180               704378086.
        23190               724934674.
        23200               714104113.
        23210               721373555.
        23220               740472670.
        23230               732755005.
        23240               742218893.
        23250               750779195.
        23260               753406963.
        23270               763059255.
        23280               769199922.
        23290               771360241.
        23300               776388780.
        23310               784916995.
        23320               782276092.
        23330               792359641.
        23340               803106404.
        23350               799993673.
        23360               815953284.
        23370               823117902.
        23380               810244480.
        23390               831690442.
        23400               843986734.
        23410               834928285.
        23420               851432263.
        23430               854202650.
        23440               852543699.
        23450               869275450.
        23460               870178295.
        23470               871825400.
        23480               881340655.
        23490               884766038.
        23500               890314723.
        23510               896703833.
        23520               900500815.
        23530               910212564.
        23540               921255005.
        23550               925802686.
        23560               926678161.
        23570               941993549.
        23580               944757777.
        23590               948381065.
        23600               962928673.
        23610               958805397.
        23620               966074130.
        23630               975822348.
        23640               974254892.
        23650               988537234.
        23660               992228215.
        23670               994519245.
        23680              1013912057.
        23690              1007168512.
        23700              1015157316.
        23710              1035707017.
        23720              1034259696.
        23730              1043659453.
        23740              1053777271.
        23750              1053906080.
        23760              1061205160.
        23770              1073487156.
        23780              1078096437.
        23790              1079253208.
        23800              1091267605.
        23810              1094468626.
        23820              1097721139.
        23830              1115144842.
        23840              1114784647.
        23850              1125263903.
        23860              1141499784.
        23870              1132326924.
        23880              1156637573.
        23890              1168134981.
        23900              1153812002.
        23910              1182523676.
        23920              1186188184.
        23930              1178306528.
        23940              1200838266.
        23950              1203318750.
        23960              1198336629.
        23970              1217799777.
        23980              1225456392.
        23990              1225961929.
        24000              1235806170.
        24010              1251697357.
        24020              1251782740.
        24030              1266155902.
        24040              1275327728.
        24050              1272939657.
        24060              1295063681.
        24070              1298180979.
        24080              1296537273.
        24090              1320643481.
        24100              1315098863.
        24110              1319506335.
        24120              1346304247.
        24130              1333491066.
        24140              1343087306.
        24150              1368384847.
        24160              1360122463.
        24170              1371340276.
        24180              1387966325.
        24190              1389869133.
        24200              1406060900.
        24210              1418352497.
        24220              1416425372.
        24230              1426973686.
        24240              1442819307.
        24250              1441460049.
        24260              1453696487.
        24270              1468432899.
        24280              1460764783.
        24290              1479863948.
        24300              1496470579.
        24310              1483408323.
        24320              1512572020.
        24330              1522190905.
        24340              1513528810.
        24350              1544293463.
        24360              1546199531.
        24370              1543440640.
        24380              1572389858.
        24390              1573094014.
        24400              1578306941.
        24410              1597468183.
        24420              1594392987.
        24430              1604081440.
        24440              1623855000.
        24450              1623924189.
        24460              1630790928.
        24470              1654010852.
        24480              1651686353.
        24490              1653284871.
        24500              1691610066.
        24510              1686457141.
        24520              1687293201.
        24530              1722852946.
        24540              1707438273.
        24550              1717561488.
        24560              1751735899.
        24570              1734760560.
        24580              1752210385.
        24590              1770952880.
        24600              1764809346.
        24610              1785927692.
        24620              1794434889.
        24630              1799479683.
        24640              1819241239.
        24650              1826066105.
        24660              1831730265.
        24670              1847511054.
        24680              1858593482.
        24690              1859199971.
        24700              1879307857.
