     **************************************************
     *                PROGRAM  RRKM                   *
     *              E. Martinez-Nunez                 *
     *       Departamento de Quimica Fisica           *
     *  Universidad de Santiago de Compostela(Spain)  *
     **************************************************


   Direct via TS8 for process 1 3         -8.3235 150          


   Energia critica   =  61.49kcal/mol
   Energia rotacional=   0.00kcal/mol
   Energia mas alta  = 161.18kcal/mol


   Rotores libres del reactivo= 0       Rotores libres del TS= 0



   Teoria rrkm armonica cuantica


   Frecuencias vibracionales del reactivo
   ======================================
       frec    1      551  cm-1
       frec    2      593  cm-1
       frec    3      957  cm-1
       frec    4     1063  cm-1
       frec    5     1232  cm-1
       frec    6     1308  cm-1
       frec    7     1840  cm-1
       frec    8     2664  cm-1
       frec    9     2788  cm-1


   Energia del punto cero en el re=    18.58kcal/mol


   Frecuencias vibracionales del estado de transicion
   ==================================================
       frec    1      355  cm-1
       frec    2      496  cm-1
       frec    3      642  cm-1
       frec    4     1064  cm-1
       frec    5     1342  cm-1
       frec    6     1552  cm-1
       frec    7     2463  cm-1
       frec    8     2757  cm-1


   Energia del punto cero en el TS=    15.25kcal/mol




     Energia      k(E,J)/s-1
        26110              1497859128.
        26120              1531071619.
        26130              1549827370.
        26140              1552578433.
        26150              1549955835.
        26160              1543623403.
        26170              1551573949.
        26180              1565374494.
        26190              1604867887.
        26200              1621842277.
        26210              1623037011.
        26220              1622505639.
        26230              1614855919.
        26240              1626826622.
        26250              1633813853.
        26260              1669217489.
        26270              1705681704.
        26280              1690797629.
        26290              1698279035.
        26300              1692760022.
        26310              1701693993.
        26320              1716465394.
        26330              1749125437.
        26340              1776167028.
        26350              1775889617.
        26360              1782177342.
        26370              1770001227.
        26380              1775930666.
        26390              1791374319.
        26400              1827868239.
        26410              1858458964.
        26420              1864403990.
        26430              1861489882.
        26440              1870734884.
        26450              1859427672.
        26460              1878720031.
        26470              1906329124.
        26480              1936925187.
        26490              1941555645.
        26500              1943945361.
        26510              1953856854.
        26520              1943698318.
        26530              1968908587.
        26540              1988876552.
        26550              2026011620.
        26560              2043729907.
        26570              2031763429.
        26580              2031763429.
        26590              2030171075.
        26600              2048743066.
        26610              2072575767.
        26620              2115147419.
        26630              2129889329.
        26640              2131274764.
        26650              2136081475.
        26660              2123597580.
        26670              2134314110.
        26680              2168617910.
        26690              2192208102.
        26700              2217695035.
        26710              2226981005.
        26720              2215503872.
        26730              2227493813.
        26740              2217092038.
        26750              2265751508.
        26760              2303809214.
        26770              2331221733.
        26780              2322017934.
        26790              2319258330.
        26800              2322605714.
        26810              2321049660.
        26820              2359578012.
        26830              2393865251.
        26840              2420964442.
        26850              2434577267.
        26860              2412492263.
        26870              2416007114.
        26880              2419761250.
        26890              2452998046.
        26900              2489253587.
        26910              2526326608.
        26920              2525671335.
        26930              2522622267.
        26940              2518111319.
        26950              2521008201.
        26960              2548073467.
        26970              2613659508.
        26980              2617804172.
        26990              2628531979.
        27000              2629923818.
        27010              2622656890.
        27020              2641418663.
        27030              2654973498.
        27040              2716342600.
        27050              2730506271.
        27060              2746440260.
        27070              2731778543.
        27080              2733081862.
        27090              2751737459.
        27100              2768312285.
        27110              2832985306.
        27120              2857121860.
        27130              2858668265.
        27140              2862930693.
        27150              2851916605.
        27160              2849111259.
        27170              2891404450.
        27180              2919857536.
        27190              2961518407.
        27200              2972208031.
        27210              2980858128.
        27220              2970623497.
        27230              2975680271.
        27240              3009031536.
        27250              3037375516.
        27260              3091367523.
        27270              3078281898.
        27280              3091078377.
        27290              3090428827.
        27300              3092189991.
        27310              3121909947.
        27320              3164276765.
        27330              3208553742.
        27340              3212815214.
        27350              3223236965.
        27360              3203798970.
        27370              3219148422.
        27380              3242760883.
        27390              3271631888.
        27400              3318731609.
        27410              3348754865.
        27420              3343085825.
        27430              3344247718.
        27440              3343047498.
        27450              3365267205.
        27460              3412444742.
        27470              3451176971.
        27480              3481441054.
        27490              3478969586.
        27500              3495030943.
        27510              3478414778.
        27520              3498076879.
        27530              3540418118.
        27540              3580205339.
        27550              3629834662.
        27560              3606082307.
        27570              3622236331.
        27580              3621873983.
        27590              3629999595.
        27600              3663573091.
        27610              3727066558.
        27620              3758793961.
        27630              3749904565.
        27640              3754947303.
        27650              3745499782.
        27660              3753008357.
        27670              3816293243.
        27680              3859544296.
        27690              3887235439.
        27700              3911776209.
        27710              3898023744.
        27720              3892536166.
        27730              3900627814.
        27740              3943193747.
        27750              4002609081.
        27760              4024290807.
        27770              4049179044.
        27780              4038827423.
        27790              4059513802.
        27800              4038062089.
        27810              4104480319.
        27820              4158387926.
        27830              4187122434.
        27840              4210017099.
        27850              4191806920.
        27860              4184042448.
        27870              4204324376.
        27880              4245488454.
        27890              4294248741.
        27900              4345875662.
        27910              4365631842.
        27920              4343719661.
        27930              4339200234.
        27940              4359142490.
        27950              4386554815.
        27960              4455275674.
        27970              4495231811.
        27980              4502891502.
        27990              4520562073.
        28000              4492940418.
        28010              4523004559.
        28020              4558626370.
        28030              4620220678.
        28040              4659870867.
        28050              4672523578.
        28060              4669133947.
        28070              4659248022.
        28080              4703495509.
        28090              4706859718.
        28100              4779174513.
        28110              4831544093.
        28120              4835226155.
        28130              4835913100.
        28140              4849622329.
        28150              4855545183.
        28160              4894884853.
        28170              4942033514.
        28180              4997620990.
        28190              5017880987.
        28200              5018572282.
        28210              5009342994.
        28220              5018112437.
        28230              5062400703.
        28240              5100591474.
        28250              5167112829.
        28260              5181086102.
        28270              5188769583.
        28280              5214887867.
        28290              5184286533.
        28300              5224967802.
        28310              5280992414.
        28320              5345581111.
        28330              5348835380.
        28340              5373849713.
        28350              5384695002.
        28360              5368894894.
        28370              5428752876.
        28380              5452277980.
        28390              5523406073.
        28400              5556557433.
        28410              5555996075.
        28420              5547803821.
        28430              5560905072.
        28440              5581699176.
        28450              5644774547.
        28460              5686829372.
        28470              5749170248.
        28480              5759552368.
        28490              5770143930.
        28500              5748974661.
        28510              5768837755.
        28520              5839759686.
        28530              5877551685.
        28540              5948067370.
        28550              5958738553.
        28560              5946892091.
        28570              5971615515.
        28580              5960899435.
        28590              6035994541.
        28600              6090568502.
        28610              6164694320.
        28620              6146270735.
        28630              6159275539.
        28640              6156666800.
        28650              6168243560.
        28660              6215246760.
        28670              6299649098.
        28680              6336944102.
        28690              6374111239.
        28700              6338332269.
        28710              6339994684.
        28720              6366787134.
        28730              6418792086.
        28740              6495206616.
        28750              6548327222.
        28760              6568470977.
        28770              6554540703.
        28780              6564683564.
        28790              6574274343.
        28800              6613764504.
        28810              6729407176.
        28820              6736806679.
        28830              6783572546.
        28840              6780800093.
        28850              6782157792.
        28860              6803936854.
        28870              6846792573.
        28880              6933511656.
        28890              6978374842.
        28900              7005571415.
        28910              6986458962.
        28920              6995055404.
        28930              7020451929.
        28940              7063863930.
        28950              7135354366.
        28960              7210756640.
        28970              7207182181.
        28980              7235405627.
        28990              7208379725.
        29000              7219050842.
        29010              7289407683.
        29020              7343304163.
        29030              7416423229.
        29040              7438478727.
        29050              7474761059.
        29060              7456738213.
        29070              7487520610.
        29080              7530002300.
        29090              7586519588.
        29100              7672787680.
        29110              7661537355.
        29120              7696678315.
        29130              7692656508.
        29140              7718426884.
        29150              7741400774.
        29160              7830077571.
        29170              7884027339.
        29180              7925583796.
        29190              7931502453.
        29200              7925996432.
        29210              7938520875.
        29220              7996287399.
        29230              8034329742.
        29240              8112974657.
        29250              8183923138.
        29260              8171008171.
        29270              8200647451.
        29280              8181430889.
        29290              8231860625.
        29300              8295056370.
        29310              8359122915.
        29320              8418396014.
        29330              8430976730.
        29340              8463376162.
        29350              8431826866.
        29360              8483909062.
        29370              8544830042.
        29380              8610492335.
        29390              8694504471.
        29400              8678197554.
        29410              8698821861.
        29420              8713777458.
        29430              8725439805.
        29440              8775940185.
        29450              8888218672.
        29460              8927142940.
        29470              8952474683.
        29480              8932121883.
        29490              8962816460.
        29500              8964139184.
        29510              9074211165.
        29520              9130302399.
        29530              9203530643.
        29540              9243928194.
        29550              9232192644.
        29560              9240525400.
        29570              9242554531.
        29580              9328612506.
        29590              9418482545.
        29600              9471376089.
        29610              9509268101.
        29620              9506942790.
        29630              9541921586.
        29640              9511981396.
        29650              9624551647.
        29660              9695758355.
        29670              9749511001.
        29680              9775546042.
        29690              9784531641.
        29700              9756957224.
        29710              9821514862.
        29720              9861291920.
        29730              9958759887.
        29740             10023554892.
        29750             10072671552.
        29760             10057915023.
        29770             10039697661.
        29780             10095717934.
        29790             10138989062.
        29800             10265376141.
        29810             10308457794.
        29820             10350209548.
        29830             10376023444.
        29840             10344465009.
        29850             10395529126.
        29860             10454505901.
        29870             10544359361.
        29880             10597531066.
        29890             10653348485.
        29900             10641164843.
        29910             10649910471.
        29920             10703819946.
        29930             10734885053.
        29940             10823714655.
        29950             10921245814.
        29960             10944179292.
        29970             10946471992.
        29980             10980090814.
        29990             10982091828.
        30000             11069061506.
        30010             11110717472.
        30020             11217694100.
        30030             11245061171.
        30040             11283597121.
        30050             11263517370.
        30060             11300429160.
        30070             11358863961.
        30080             11410021850.
        30090             11541598648.
        30100             11565240844.
        30110             11599814347.
        30120             11634484028.
        30130             11611011504.
        30140             11663507479.
        30150             11758532266.
        30160             11849425856.
        30170             11869476624.
        30180             11918916172.
        30190             11940495985.
        30200             11931021159.
        30210             11988828515.
        30220             12063694041.
        30230             12128694977.
        30240             12238090883.
        30250             12221492957.
        30260             12240579510.
        30270             12261466849.
        30280             12283552098.
        30290             12407318125.
        30300             12458205669.
        30310             12574655754.
        30320             12592660738.
        30330             12631986640.
        30340             12578466901.
        30350             12638304340.
        30360             12735956147.
        30370             12787136570.
        30380             12892377757.
        30390             12942692490.
        30400             12925556636.
        30410             12962836387.
        30420             12969069462.
        30430             13049707484.
        30440             13165442395.
        30450             13260487363.
        30460             13263337447.
        30470             13274974805.
        30480             13276862202.
        30490             13317309080.
        30500             13387262218.
        30510             13524168206.
        30520             13561838549.
        30530             13671244017.
        30540             13587391247.
        30550             13643039889.
        30560             13674518314.
        30570             13765109686.
        30580             13865354817.
        30590             13956799197.
        30600             13990663865.
        30610             13991389276.
        30620             14020342539.
        30630             14029324435.
        30640             14125345128.
        30650             14263394472.
        30660             14305026206.
        30670             14358119723.
        30680             14374922603.
        30690             14386626470.
        30700             14423716805.
        30710             14494783921.
        30720             14581574160.
        30730             14682749081.
        30740             14703335505.
        30750             14726105722.
        30760             14727400675.
        30770             14799765485.
        30780             14849899144.
        30790             14964859674.
        30800             15064657968.
        30810             15068533312.
        30820             15139788947.
        30830             15098723486.
        30840             15157281134.
        30850             15239810056.
        30860             15344984960.
        30870             15414318091.
        30880             15496848170.
        30890             15540632710.
        30900             15529310637.
        30910             15581943096.
        30920             15634552411.
        30930             15720472241.
        30940             15826468661.
        30950             15852262186.
        30960             15896771251.
        30970             15928238249.
        30980             15954064543.
        30990             16020386126.
        31000             16116699270.
        31010             16208715142.
        31020             16294098107.
        31030             16301034730.
        31040             16340210071.
        31050             16330468020.
        31060             16458974590.
        31070             16466271220.
        31080             16620169822.
        31090             16712559686.
        31100             16730723514.
        31110             16772688499.
        31120             16753451860.
        31130             16832118987.
        31140             16925128995.
        31150             17030661579.
        31160             17105942251.
        31170             17165108274.
        31180             17196321478.
        31190             17184426404.
        31200             17228095880.
        31210             17344505485.
        31220             17426432190.
        31230             17555355090.
        31240             17568365049.
        31250             17565917008.
        31260             17630514473.
        31270             17630668017.
        31280             17737231801.
        31290             17856649391.
        31300             17959601104.
        31310             17991412682.
        31320             17985797641.
        31330             18038406361.
        31340             18046909522.
        31350             18226861677.
        31360             18282660909.
        31370             18431636437.
        31380             18476362439.
        31390             18481634656.
        31400             18467456613.
        31410             18527535075.
        31420             18604585766.
        31430             18759780444.
        31440             18827498424.
        31450             18882945172.
        31460             18898946870.
        31470             18958204606.
        31480             18942145733.
        31490             19067222777.
        31500             19204947869.
        31510             19261709196.
        31520             19332414458.
        31530             19356183474.
        31540             19327622407.
        31550             19452296330.
        31560             19483372731.
        31570             19670633445.
        31580             19731370516.
        31590             19838298561.
        31600             19805865378.
        31610             19836599850.
        31620             19892266939.
        31630             19983646345.
        31640             20130896847.
        31650             20197072078.
        31660             20266780281.
        31670             20331907811.
        31680             20303936291.
        31690             20360458284.
        31700             20485261030.
        31710             20566687056.
        31720             20681863389.
        31730             20739004890.
        31740             20763833252.
        31750             20777323885.
        31760             20852632110.
        31770             20913460034.
        31780             21007770077.
        31790             21163693153.
        31800             21179338774.
        31810             21255501769.
        31820             21279958252.
        31830             21331113408.
        31840             21438444749.
        31850             21487818667.
        31860             21643212462.
        31870             21696490499.
        31880             21779532465.
        31890             21744665825.
        31900             21833074855.
        31910             21892921180.
        31920             21995822740.
        31930             22142404522.
        31940             22224235962.
        31950             22241841724.
        31960             22335442400.
        31970             22302664819.
        31980             22371003227.
        31990             22506268802.
        32000             22603248739.
        32010             22699433556.
        32020             22740671881.
        32030             22818060830.
        32040             22811603731.
        32050             22895889703.
        32060             23011047597.
        32070             23111448824.
        32080             23269477545.
        32090             23253431860.
        32100             23327018945.
        32110             23337127721.
        32120             23413080170.
        32130             23542795651.
        32140             23653572167.
        32150             23762448661.
        32160             23846866229.
        32170             23888596622.
        32180             23847533976.
        32190             23936369636.
        32200             24048686767.
        32210             24158010982.
        32220             24263905328.
        32230             24383011924.
        32240             24347246958.
        32250             24420689313.
        32260             24433370343.
        32270             24570437845.
        32280             24708705716.
        32290             24833654486.
        32300             24878338640.
        32310             24881473308.
        32320             24940972552.
        32330             24977973187.
        32340             25108096951.
        32350             25257916115.
        32360             25347005625.
        32370             25485484699.
        32380             25405281906.
        32390             25494162438.
        32400             25539337410.
        32410             25694912055.
        32420             25791759115.
        32430             25957152024.
        32440             25976972497.
        32450             26027406776.
        32460             26040016953.
        32470             26115476563.
        32480             26192938593.
        32490             26404044247.
        32500             26444761873.
        32510             26535359745.
        32520             26599459237.
        32530             26601313840.
        32540             26697345122.
        32550             26772491789.
        32560             26912417377.
        32570             27042845503.
        32580             27100527743.
        32590             27150956395.
        32600             27165491935.
        32610             27301862047.
        32620             27334503154.
        32630             27538159207.
        32640             27626508187.
        32650             27698782521.
        32660             27780698879.
        32670             27771831487.
        32680             27823182264.
        32690             27957392496.
        32700             28075106193.
        32710             28185375084.
        32720             28303861338.
        32730             28365826219.
        32740             28385548420.
        32750             28428827581.
        32760             28554642072.
        32770             28620370202.
        32780             28810665057.
        32790             28834691489.
        32800             28932356347.
        32810             29004493798.
        32820             29007643174.
        32830             29140884604.
        32840             29234196869.
        32850             29384316173.
        32860             29497303326.
        32870             29549996545.
        32880             29594708257.
        32890             29611739441.
        32900             29777135119.
        32910             29802306755.
        32920             30003087347.
        32930             30131589005.
        32940             30185782005.
        32950             30228118223.
        32960             30266209191.
        32970             30308759945.
        32980             30502048043.
        32990             30590331982.
        33000             30734515618.
        33010             30817370077.
        33020             30865877591.
        33030             30872244706.
        33040             30926950350.
        33050             31117249824.
        33060             31198985645.
        33070             31412422107.
        33080             31413685313.
        33090             31467916365.
        33100             31558741843.
        33110             31580502693.
        33120             31730638420.
        33130             31883029876.
        33140             32030224134.
        33150             32083364698.
        33160             32127293743.
        33170             32152225901.
        33180             32242436244.
        33190             32429195378.
        33200             32532859881.
        33210             32681321870.
        33220             32772792849.
        33230             32781159056.
        33240             32801086809.
        33250             32903953401.
        33260             32980797824.
        33270             33217121235.
        33280             33266530690.
        33290             33405641886.
        33300             33408854409.
        33310             33528558696.
        33320             33518966851.
        33330             33681385157.
        33340             33864234359.
        33350             33933567678.
        33360             34062943885.
        33370             34081747574.
        33380             34115701198.
        33390             34266712468.
        33400             34352571125.
        33410             34543202426.
        33420             34644596960.
        33430             34777859078.
        33440             34768452145.
        33450             34833517490.
        33460             34895678011.
        33470             35052121898.
        33480             35196112306.
        33490             35344103089.
        33500             35389732205.
        33510             35548217160.
        33520             35489116254.
        33530             35618417945.
        33540             35753688221.
        33550             35872448647.
        33560             36016221323.
        33570             36098907535.
        33580             36180254378.
        33590             36196108789.
        33600             36355278836.
        33610             36404776170.
        33620             36550949503.
        33630             36744727149.
        33640             36787282809.
        33650             36919142103.
        33660             36958308160.
        33670             37048386317.
        33680             37169797259.
        33690             37280229255.
        33700             37421102470.
        33710             37572164237.
