     **************************************************
     *                PROGRAM  RRKM                   *
     *              E. Martinez-Nunez                 *
     *       Departamento de Quimica Fisica           *
     *  Universidad de Santiago de Compostela(Spain)  *
     **************************************************


   Reverse via TS8 for process 3 1          5.2856 150         


   Energia critica   =  47.88kcal/mol
   Energia rotacional=   0.00kcal/mol
   Energia mas alta  = 161.18kcal/mol


   Rotores libres del reactivo= 0       Rotores libres del TS= 0



   Teoria rrkm armonica cuantica


   Frecuencias vibracionales del reactivo
   ======================================
       frec    1      467  cm-1
       frec    2      523  cm-1
       frec    3      591  cm-1
       frec    4      818  cm-1
       frec    5      847  cm-1
       frec    6     1242  cm-1
       frec    7     1340  cm-1
       frec    8     2737  cm-1
       frec    9     2763  cm-1


   Energia del punto cero en el re=    16.19kcal/mol


   Frecuencias vibracionales del estado de transicion
   ==================================================
       frec    1      355  cm-1
       frec    2      496  cm-1
       frec    3      642  cm-1
       frec    4     1064  cm-1
       frec    5     1342  cm-1
       frec    6     1552  cm-1
       frec    7     2463  cm-1
       frec    8     2757  cm-1


   Energia del punto cero en el TS=    15.25kcal/mol




     Energia      k(E,J)/s-1
        21100              1361271205.
        21110              1339879801.
        21120              1353242239.
        21130              1358114576.
        21140              1366635305.
        21150              1411523618.
        21160              1420327041.
        21170              1414315303.
        21180              1416030664.
        21190              1397666340.
        21200              1409885845.
        21210              1443972579.
        21220              1453529492.
        21230              1480520110.
        21240              1496056052.
        21250              1464965098.
        21260              1473832376.
        21270              1495189560.
        21280              1486180425.
        21290              1535891450.
        21300              1571450634.
        21310              1547454597.
        21320              1545371084.
        21330              1557957003.
        21340              1542968914.
        21350              1569593557.
        21360              1604313012.
        21370              1615625855.
        21380              1626902370.
        21390              1618294421.
        21400              1611291453.
        21410              1625540551.
        21420              1629072593.
        21430              1655012160.
        21440              1705895441.
        21450              1692066567.
        21460              1680518113.
        21470              1696751986.
        21480              1684815383.
        21490              1692556700.
        21500              1743266816.
        21510              1757273277.
        21520              1764006503.
        21530              1772366723.
        21540              1752244340.
        21550              1762624283.
        21560              1777335567.
        21570              1797675876.
        21580              1844781611.
        21590              1849565592.
        21600              1826036444.
        21610              1842267879.
        21620              1841051526.
        21630              1825446419.
        21640              1902169924.
        21650              1927675817.
        21660              1904417200.
        21670              1933906364.
        21680              1925211954.
        21690              1895610495.
        21700              1942123804.
        21710              1956350013.
        21720              1979555779.
        21730              2020652800.
        21740              1992165781.
        21750              1986776997.
        21760              2018099949.
        21770              1993907558.
        21780              2028368056.
        21790              2102272087.
        21800              2066206271.
        21810              2068775931.
        21820              2110011667.
        21830              2062521447.
        21840              2074424582.
        21850              2152110213.
        21860              2142059061.
        21870              2155643115.
        21880              2200418547.
        21890              2148288139.
        21900              2151049825.
        21910              2192153355.
        21920              2185070986.
        21930              2238538338.
        21940              2274740732.
        21950              2239348919.
        21960              2262478858.
        21970              2264230038.
        21980              2227981764.
        21990              2307180498.
        22000              2350644154.
        22010              2324462244.
        22020              2371545096.
        22030              2366021098.
        22040              2308206843.
        22050              2360738829.
        22060              2401010544.
        22070              2392156264.
        22080              2455320516.
        22090              2456616250.
        22100              2416393555.
        22110              2445767880.
        22120              2449732903.
        22130              2448928833.
        22140              2521431530.
        22150              2535225858.
        22160              2527433777.
        22170              2549900226.
        22180              2517983728.
        22190              2521255260.
        22200              2579519153.
        22210              2600638236.
        22220              2616903421.
        22230              2657574594.
        22240              2622342904.
        22250              2616905354.
        22260              2649317859.
        22270              2650466748.
        22280              2689092647.
        22290              2740301681.
        22300              2731260909.
        22310              2738345739.
        22320              2735703053.
        22330              2717723915.
        22340              2766064334.
        22350              2808354864.
        22360              2822702361.
        22370              2860427755.
        22380              2846872012.
        22390              2820767118.
        22400              2852728624.
        22410              2863340177.
        22420              2879671894.
        22430              2961515445.
        22440              2953491175.
        22450              2933136306.
        22460              2949121083.
        22470              2943082452.
        22480              2955834474.
        22490              3020824966.
        22500              3045853614.
        22510              3060140108.
        22520              3066409469.
        22530              3030382547.
        22540              3053908646.
        22550              3088283476.
        22560              3094817017.
        22570              3162024905.
        22580              3194114465.
        22590              3138932912.
        22600              3166931415.
        22610              3184309677.
        22620              3150397937.
        22630              3227157649.
        22640              3279698135.
        22650              3261438109.
        22660              3284126202.
        22670              3291479532.
        22680              3258451939.
        22690              3305551219.
        22700              3343445413.
        22710              3368446450.
        22720              3420893426.
        22730              3402365561.
        22740              3390192890.
        22750              3416950037.
